name,url,level,school,casting_time,range,components,concentration,ritual,description,source
,,Level Spirit Shroud,3,necromancy,1 bonus action,Self,No,No,,"If the attack hits, deals an extra 1d8 radiant, necrotic, or cold damage. Target can't regain hp this turn (damage/lvl)."
,,Level Spiritual Weapon,2,evocation,1 bonus action,60 ft,No,No,,"If the spell attack hits, deals 1d8+Ability.Mod force damage (damage/lvl). A bonus action allows another attack."
,,Level Staggering Smite,4,evocation,1 bonus action,Self,No,No,,"If the attack hits, deals an extra 4d6 pyschic damage and the target must succeed on a Wis. save or have a disadvantage."
,,Level Steel Wind Strike,5,conjuration,1 action,30 ft,No,No,,"If the spell attack hits, deals 6d10 force damage to 5 creatures, then the caster teleports."
,,Level Stinking Cloud,3,conjuration,1 action,90 ft,No,No,,Creatures in a 20-ft-radius sphere must succeed on a Con. save or spend their action that turn retching and reeling.
,,Level Stone Shape,4,transmutation,1 action,Touch,No,No,,"Give a stone no more than 5 ft in any dimension any shape, or create an opening in it."
,,Level Stoneskin,4,abjuration,1 action,Touch,No,No,,"The target gets resistance to nonmagical bludgeoning, piercing, and slashing damage."
,,Level Storm of Vengeance,9,conjuration,1 action,Sight,No,No,,Creatures in a 360-ft radius must succeed on a Con. save or be deafened and suffer various damage and effects.
,,Level Storm Sphere,4,evocation,1 action,150 ft,No,No,,Creatures in a 20-ft-radius sphere must succeed on a Str. save or take 2d6 bludgeoning damage (damage/lvl).
,,Level Suggestion,2,enchantment,1 action,30 ft,No,No,,The target must succeed on a Wis. save or follow the suggestion given by the caster in one or two sentences.
,,Level Summon Aberration,4,conjuration,1 action,90 ft,No,No,,"Summon 1 aberrant spirit (beholderkin, slaad, or star spawn), friendly (stat block/your lvl)."
,,Level Summon Beast,2,conjuration,1 action,90 ft,No,No,,"Summon 1 bestial spirit (air, land, or water), friendly (stat block/your lvl)."
,,Level Summon Celestial,5,conjuration,1 action,90 ft,No,No,,"Summon 1 celestial spirit (avenger or defender), friendly (stat block/your lvl)."
,,Level Summon Construct,4,conjuration,1 action,90 ft,No,No,,"Summon 1 spirit of a construct (clay, metal, or stone), friendly (stat block/your lvl)."
,,Level Summon Elemental,4,conjuration,1 action,90 ft,No,No,,"Summon 1 elemental spirit (air, earth, fire, or water), friendly (stat block/your lvl)."
,,Level Summon Fey,3,conjuration,1 action,90 ft,No,No,,"Summon 1 fey spirit (fuming, mirthful, or tricksy), friendly (stat block/your lvl)."
,,Level Summon Fiend,6,conjuration,1 action,90 ft,No,No,,"Summon 1 fiendish spirit (demon, devil, or yugoloth), friendly (stat block/your lvl)."
,,Level Summon Greater Demon,4,conjuration,1 action,60 ft,No,No,,"Summon 1 CR 5 demon, friendly (CR +1/lvl)."
,,Level Summon Lesser Demons,3,conjuration,1 action,60 ft,No,No,,"Summon 2 CR 1 demons 1 to 8 CR 1/4 demons, unfriendly (nbr of creatures/lvl)."
,,Level Summon Shadowspawn,3,conjuration,1 action,90 ft,No,No,,"Summon 1 shadowy spirit (fury, despair, or fear), friendly (stat block/your lvl)."
,,Level Summon Undead,3,necromancy,1 action,90 ft,No,No,,"Summon 1 undead spirit (ghostly, putrid, or skeletal), friendly (stat block/your lvl)."
,,Level Sunbeam,6,evocation,1 action,Self (60-ft line),No,No,,"Creatures on a 5-ft-wide, 60-ft-long line must succeed on a Con. save or take 6d8 radiant damage and be blinded."
,,Level Sunburst,8,evocation,1 action,150 ft,No,No,,Creatures in a 60-ft radius must succeed on a Con. save or take 12d6 radiant damage and be blinded for 1 min.
,,Level Swift Quiver,5,transmutation,1 bonus action,Touch,No,No,,"Make a quiver to produce an endless supply of nonmagical ammunition, allowing 2 attacks per round with a bonus action."
,,Level Sword Burst,0,conjuration,1 action,Self (5-ft radius),No,No,,Creatures in a 5-ft radius must succeed on a Dex. save or take 1d6 force damage (damage/lvl).
,,Level Symbol,7,abjuration,1 minute,Touch,No,No,,"Set the trigger and the effect of a glyph on an object (death, discord, fear, hopelessness, insanity, pain, sleep, etc)."
,,Level Synaptic Static,5,enchantment,1 action,120 ft,No,No,,Creatures in a 20-ft radius must succeed on an Int. save or take 8d6 psychic damage.
,,Level Tasha's Caustic Brew,1,evocation,1 action,Self (30-ft line),No,No,,Creatures in a 30 ft long 5 ft wide line must succeed on a Dex. save or take 2d4 acid damage each turn (+2d4/lvl).
,,Level Tasha's Hideous Laughter,1,enchantment,1 action,30 ft,No,No,,"The target must succeed on a Wis. save or falls into fits of laughter, fall prone and becoming incapacitated."
,,Level Tasha's Mind Whip,2,enchantment,1 action,90 ft,No,No,,Target must succeed on an Int. save or take 3d6 psychic damage and choose to move or take an action next turn (+1 creature/lvl).
,,Level Tasha's Otherworldly Guise,6,transmutation,1 bonus action,Self,No,No,,"Immune to fire/poison or radiant/necrotic damage, 40 ft flying speed, +2 AC bonus, weapons are magical, 2 attacks."
,,Level Telekinesis,5,transmutation,1 action,60 ft,No,No,,"Move a creature (Huge or smaller) or object (up to 1,000 pounds) by thought in case of successful contest."
,,Level Telepathy,8,evocation,1 action,Unlimited,No,No,,Comunicate via telepathy with a known and willing creature on the same plane of existence.
,,Level Teleport,7,conjuration,1 action,10 ft,No,No,,The caster and 8 creatures are teleported anywhere on the same plane. Risk of failure depending on the destination familiarity.
,,Level Teleportation Circle,5,conjuration,1 minute,10 ft,No,No,,Create a circle that allows anyone to be teleported to another teleportation circle known to the caster.
,,Level Temple of the Gods,7,conjuration,1 hour,120 ft,No,No,,Let erupt a temple dedicated to a god on a 120 x 120 ft area for 1 day.
,,Level Tenser's Floating Disk,1,conjuration,1 action,30 ft,No,No,Ritual,Create a floating 3-ft-diameter disk that can support up to 500 pounds and follows the caster.
,,Level Tenser's Transformation,6,transmutation,1 action,Self,No,No,,"The caster gains 50 hp, advantage to attack rolls, an extra 2d12 force damage, martial proficiencies and two attacks per round."
,,Level Thaumaturgy,0,transmutation,1 action,30 ft,No,No,,Create various minor effects to impress or distract creatures.
,,Level Thorn Whip,0,transmutation,1 action,30 ft,No,No,,"If the attack hits, deals 1d6 piercing damage and pull the target (Larger or smaller) up to 10 ft (damage/lvl)."
,,Level Thunder Step,3,conjuration,1 action,90 ft,No,No,,The caster teleports and creatures within 10 ft must succeed on a Con. save or take 3d10 thunder damage.
,,Level Thunderclap,0,evocation,1 action,5 ft,No,No,,Creatures within 5 ft must succeed on a Con. save or take 1d6 thunder damage (damage/lvl).
,,Level Thunderous Smite,1,evocation,1 bonus action,Self,No,No,,"If the attack hits, deals an extra 2d6 thunder damage, and target must succeed on a Str. save or be pushed and knocked prone."
,,Level Thunderwave,1,evocation,1 action,Self (15-ft cube),No,No,,Creatures in a 15-ft cube must succeed on a Con. save or take 2d8 thunder damage (damage/lvl).
,,Level Tidal Wave,3,conjuration,1 action,120 ft,No,No,,Creatures in an 30 x 10 x 10 ft area must succeed on Dex. save or take 4d8 bludgeoning damage and be knocked prone.
,,Level Time Stop,9,transmutation,1 action,Self,No,No,,Stop the time during 1d4+1 turns for everyone except for the caster.
,,Level Tiny Servant,3,transmutation,1 minute,Touch,No,No,,Transform one Tiny object into a creature with arms and legs under the caster control (+2 objects/lvl).
,,Level Toll the Dead,0,necromancy,1 action,60 ft,No,No,,The target must succeed on a Wis. save or take 1d8 or 1d12 necrotic damage (damage/lvl).
,,Level Tongues,3,divination,1 action,Touch,No,No,,The target understands and speaks any spoken language it hears.
,,Level Transmute Rock,5,transmutation,1 action,120 ft,No,No,,Transform a 40-ft cube of rock into mud or of mud into rock.
,,Level Transport via Plants,6,conjuration,1 action,10 ft,No,No,,The caster can move from one plant to another plant (Large or larger) using 5 ft.
,,Level Tree Stride,5,conjuration,1 action,Self,No,No,,The caster can move from one tree to another tree of the same kind (500 ft max between both) using 5 ft.
,,Level True Polymorph,9,transmutation,1 action,30 ft,No,No,,Transform a creature or object into a new creature or object whose CR or level is equal to or less than the creature's CR.
,,Level True Resurrection,9,necromancy,1 hour,Touch,No,No,,"Take back to life (all hp) a creature died for no longer than 200 years (except of old age), even without the original body."
,,Level True Seeing,6,divination,1 action,Touch,No,No,,"The target gets truesight, sees magic secret doors and in the Ethereal Plane."
,,Level True Strike,0,divination,1 action,30 ft,No,No,,The caster gains advantage on his first attack roll against a target.
,,Level Tsunami,8,conjuration,1 minute,Sight,No,No,,"Creatures in a 300-ft-long, 300-ft-high, 50-ft-thick area must succeed on a Str. save or take 6d10 bludgeoning damage."
,,Level Unseen Servant,1,conjuration,1 action,60 ft,No,No,Ritual,"Create an invisible servant who performs simple tasks (bring something back, clean up, maintain a fire, serve at table, etc)."
,,Level Vampiric Touch,3,necromancy,1 action,Self,No,No,,"If the spell attack hits, deals 3d6 necrotic damage (damage/lvl) and the caster regains 50% of his hp."
,,Level Vicious Mockery,0,enchantment,1 action,60 ft,No,No,,The target must succeed on a Wis. save or take 1d4 psychic damage and have disadvantage on its attack roll (damage/lvl).
,,Level Vitriolic Sphere,4,evocation,1 action,150 ft,No,No,,Creatures within 20-ft must succeed on a Dex. save or take 10d4 acid damage (damage/lvl) then 5d4 acid damage on its turn.
,,Level Wall of Fire,4,evocation,1 action,120 ft,No,No,,Create a 60 x 20 x 1 ft wall of fire. Creatures inside or within 10ft of one side of the wall take 5d8 fire damage (damage/lvl).
,,Level Wall of Force,5,evocation,1 action,120 ft,No,No,,Create a physically insurmountable wall of force (ten 10-ft panels) immune to all types of damage.
,,Level Wall of Ice,6,evocation,1 action,120 ft,No,No,,Create a wall of ice (ten 10-ft panels) that can be damaged and can inflict 5d6 cold damage if passed through (damage/lvl).
,,Level Wall of Light,5,evocation,1 action,120 ft,No,No,,"Create a 60-ft-long, 10-ft-high, 5-ft-thick wall of light that can deal 4d8 radiant damage to one target (damage/lvl)."
,,Level Wall of Sand,3,evocation,1 action,90 ft,No,No,,"Create a 30-ft-long, 10-ft-high, 10-ft-thick sand wall that blocks line of sight (blinded) but not movement."
,,Level Wall of Stone,5,evocation,1 action,120 ft,No,No,,Create a nonmagical wall of stone (ten 10-ft panels) that can be damaged.
,,Level Wall of Thorns,6,conjuration,1 action,120 ft,No,No,,"Create an 60-ft-long, 10-ft-high, 5-ft-thick wall of brush that slows movement and can inflict 7d8 piercing damage (damage/lvl)."
,,Level Wall of Water,3,evocation,1 action,60 ft,No,No,,"Create a 30-ft-long, 10-ft-high, 1-ft-thick wall of water that gives disadvantage on ranged attacks and halved fire damage."
,,Level Warding Bond,2,abjuration,1 action,Touch,No,No,,"The target gains +1 on AC, +1 on saving throws and resistance to all damage, but the caster shares damage."
,,Level Warding Wind,2,evocation,1 action,Self,No,No,,"Create strong wind (20 miles/h) in a 10-ft radius (deafen, extinguish flames, hedge out gas, difficult terrain, etc)."
,,Level Water Breathing,3,transmutation,1 action,30 ft,No,No,Ritual,Up to 10 creatures gets the ability to breathe underwater.
,,Level Water Walk,3,transmutation,1 action,30 ft,No,No,Ritual,"Up to 10 creatures can move on a liquid surface (water, acid, mud, lava, etc) as if it were harmless solid ground."
,,Level Watery Sphere,4,conjuration,1 action,90 ft,No,No,,Up to 4 Medium creatures or 1 Large creature in a 10-ft radius must succeed on a Str. save or be restrained.
,,Level Web,2,conjuration,1 action,60 ft,No,No,,"Create a 20-ft cube filled by thick, sticky webs (difficult terrain) that can restrain creature (Dex. save)."
,,Level Weird,9,illusion,1 action,120 ft,No,No,,Creatures in a 30-ft-radius sphere must succeed on a Wis. save or be frightened and take 4d10 psychic damage each turn.
,,Level Whirlwind,7,evocation,1 action,300 ft,No,No,,"Creatures in a 10-ft-radius, 30-foot-high cylinder must succeed on a Dex. save or take 10d6 blunt damage."
,,Level Wind Walk,6,transmutation,1 minute,30 ft,No,No,,The caster and up to 10 creatures assume gaseous form (flying speed of 300 ft and resistance to damage from nonmagical weapon).
,,Level Wind Wall,3,evocation,1 action,120 ft,No,No,,"Create a 50-ft-long, 15-ft-high, 1-ft-thick wall of wind. Small flying creatures can't pass. Arrows and bolts are deflected."
,,Level Wish,9,conjuration,1 action,Self,No,No,,"Duplicate a 8th level spell or lower without components, or create another effect at the MD discretion."
,,Level Witch Bolt,1,evocation,1 action,30 ft,No,No,,"If the spell attack hits, deals 1d12 lightning damage (damage/lvl) on each round."
,,Level Word of Radiance,0,evocation,1 action,5 ft,No,No,,Creatures in a 5-ft radius must succeed on a Con. save or take 1d6 radiant damage (/lvl).
,,Level Word of Recall,6,conjuration,1 action,5 ft,No,No,,The caster and up to 5 other creatures are teleported to a previously designated sanctuary.
,,Level Wrath of Nature,5,evocation,1 action,120 ft,No,No,,"Animate trees, rocks, and grasses in a 60 x 60 x 60 ft cube."
,,Level Wrathful Smite,1,evocation,1 bonus action,Self,No,No,,"If the attack hits, deals an extra 1d6 psychic damage and the target must succeed on a Wis. save or be frightened."
,,Level Zephyr Strike,1,transmutation,1 bonus action,Self,No,No,,The caster's movement (+30 ft) doesn't provoque OA and he gets advantage to one attack roll that deals an extra 1d8 force.
,,Level Zone of Truth,2,enchantment,1 action,60 ft,No,No,,Creatures within a 15-ft-radius sphere must succeed on a Cha. save or can not lie.
