name,url,level,school,casting_time,range,components,concentration,ritual,description,source
Immolation,https://www.aidedd.org/dnd/sorts.php?vo=immolation,Level 5,evocation,1 action,90 ft,V,Yes,No,The target within 90 ft must succeed on a Dex. save or take 8d6 fire damage and 4d6 fire damage thereafter.,Xanathar´s Guide to Everything
Imprisonment,https://www.aidedd.org/dnd/sorts.php?vo=imprisonment,Level 9,abjuration,1 minute,30 ft,"V,S,M",No,No,The target within 30 ft must succeed on a Wis. save or be held prisoner. The form is to choose from 6 options.,Player´s Handbook (SRD)
Incendiary Cloud,https://www.aidedd.org/dnd/sorts.php?vo=incendiary-cloud,Level 8,conjuration,1 action,150 ft,"V,S",Yes,No,Creatures in a 20-ft-radius sphere must succeed on a Dex. save or take 10d8 fire damage.,Player´s Handbook (SRD)
Infernal Calling,https://www.aidedd.org/dnd/sorts.php?vo=infernal-calling,Level 5,conjuration,1 minute,90 ft,"V,S,M",Yes,No,"Summon 1 CR 6 devil, unfriendly (CR +1/lvl).",Xanathar´s Guide to Everything
Infestation,https://www.aidedd.org/dnd/sorts.php?vo=infestation,Cantrip,conjuration,1 action,30 ft,"V,S,M",No,No,The target must succeed on a Con. save or take 1d6 poison damage and move 5 ft in a random direction (damage/lvl).,Xanathar´s Guide to Everything
Inflict Wounds,https://www.aidedd.org/dnd/sorts.php?vo=inflict-wounds,Level 1,necromancy,1 action,Touch,"V,S",No,No,"If the spell attack hits, deals 3d10 necrotic damage (damage/lvl).",Player´s Handbook (SRD)
Insect Plague,https://www.aidedd.org/dnd/sorts.php?vo=insect-plague,Level 5,conjuration,1 action,300 ft,"V,S,M",Yes,No,Creatures in a 20-ft-radius sphere must succeed on a Con. save or take 4d10 piercing damage (damage/lvl).,Player´s Handbook (SRD)
Intellect Fortress,https://www.aidedd.org/dnd/sorts.php?vo=intellect-fortress,Level 3,abjuration,1 action,30 ft,V,Yes,No,"A willing creature has resistance to psychic damage and advantage on Int., Wis. and Cha. saving throws (+1 creature/lvl).",Tasha´s Cauldron of Everything
Investiture of Flame,https://www.aidedd.org/dnd/sorts.php?vo=investiture-of-flame,Level 6,transmutation,1 action,Self,"V,S",Yes,No,Creatures in a 15-ft-long line must succeed on a Dex. save or take 4d8 fire damage. Immunity and resistance to caster.,Xanathar´s Guide to Everything
Investiture of Ice,https://www.aidedd.org/dnd/sorts.php?vo=investiture-of-ice,Level 6,transmutation,1 action,Self,"V,S",Yes,No,Creatures in a 15-ft cone must succeed on a Con. save or take 4d6 cold damage. Immunity and resistance to caster.,Xanathar´s Guide to Everything
Investiture of Stone,https://www.aidedd.org/dnd/sorts.php?vo=investiture-of-stone,Level 6,transmutation,1 action,Self,"V,S",Yes,No,Creatures in a 15-ft radius must succeed on a Dex. save or be knocked prone. Resistance and move across earth/stone.,Xanathar´s Guide to Everything
Investiture of Wind,https://www.aidedd.org/dnd/sorts.php?vo=investiture-of-wind,Level 6,transmutation,1 action,Self,"V,S",Yes,No,Creatures in a 15-ft cube must succeed on a Con. save or take 2d10 bludgeoning damage. Flying speed 60 ft.,Xanathar´s Guide to Everything
Invisibility,https://www.aidedd.org/dnd/sorts.php?vo=invisibility,Level 2,illusion,1 action,Touch,"V,S,M",Yes,No,The target becomes invisible during 1 hour or until she attacks or casts a spell (+1 creature/lvl).,Player´s Handbook (SRD)
Invulnerability,https://www.aidedd.org/dnd/sorts.php?vo=invulnerability,Level 9,abjuration,1 action,Self,"V,S,M",Yes,No,The caster gains immunity to all damage.,Xanathar´s Guide to Everything
Jump,https://www.aidedd.org/dnd/sorts.php?vo=jump,Level 1,transmutation,1 action,Touch,"V,S,M",No,No,The target gets a jump distance multiplicated by 3.,Player´s Handbook (SRD)
Knock,https://www.aidedd.org/dnd/sorts.php?vo=knock,Level 2,transmutation,1 action,60 ft,V,No,No,"Unlock or unbar 1 object (door, chest, padlock, set of manacles, etc) or suppressed the arcane lock spell for 10 minutes.",Player´s Handbook (SRD)
Legend Lore,https://www.aidedd.org/dnd/sorts.php?vo=legend-lore,Level 5,divination,10 minutes,Self,"V,S,M",No,No,"The caster obtains information about a person, place, or object. The lore consist of tales or stories.",Player´s Handbook (SRD)
Leomund's Secret Chest,https://www.aidedd.org/dnd/sorts.php?vo=leomund-s-secret-chest,Level 4,conjuration,1 action,Touch,"V,S,M",No,No,Hide a chest (3 x 2 x 2 ft) and its contents in the Ethereal Plane.,Player´s Handbook (SRD)
Leomund's Tiny Hut,https://www.aidedd.org/dnd/sorts.php?vo=leomund-s-tiny-hut,Level 3,evocation,1 minute,Self (10-ft-radius sphere),"V,S,M",No,Yes,Create a 10-ft-radius dome that can shelter and protect 9 Medium creatures with the caster.,Player´s Handbook (SRD)
Lesser Restoration,https://www.aidedd.org/dnd/sorts.php?vo=lesser-restoration,Level 2,abjuration,1 action,Touch,"V,S",No,No,"End one disease or one condition (blinded, deafened, paralyzed, or poisoned) on 1 creature.",Player´s Handbook (SRD)
Levitate,https://www.aidedd.org/dnd/sorts.php?vo=levitate,Level 2,transmutation,1 action,60 ft,"V,S,M",Yes,No,1 creature or object that weighs up to 500 pounds rises vertically up to 20 ft then remains suspended.,Player´s Handbook (SRD)
Life Transference,https://www.aidedd.org/dnd/sorts.php?vo=life-transference,Level 3,necromancy,1 action,30 ft,"V,S",No,No,The caster takes 4d8 necrotic damage and another creature gains twice the amount (+1d8 hp/lvl).,Xanathar´s Guide to Everything
Light,https://www.aidedd.org/dnd/sorts.php?vo=light,Cantrip,evocation,1 action,Touch,"V,M",No,No,Make an object to shed bright light in a 20-ft radius and dim light in an additional 20-ft radius.,Player´s Handbook (SRD)
Lightning Arrow,https://www.aidedd.org/dnd/sorts.php?vo=lightning-arrow,Level 3,transmutation,1 bonus action,Self,"V,S",Yes,No,"If the attack hits, deals 4d8 Iightning damage. Creatures within 10 ft must succeed on a Dex. save or take 2d8 lightning damage.",Player´s Handbook
Lightning Bolt,https://www.aidedd.org/dnd/sorts.php?vo=lightning-bolt,Level 3,evocation,1 action,Self (100-ft line),"V,S,M",No,No,"Creatures on a 100-ft-long, 5-ft-wide line must succeed on a Dex. save or take 8d6 lightning damage (damage/lvl).",Player´s Handbook (SRD)
Lightning Lure,https://www.aidedd.org/dnd/sorts.php?vo=lightning-lure,Cantrip,evocation,1 action,Self (15-ft radius),V,No,No,The target must succeed on a Str. save or take 1d8 lightning damage and be pulled up to 10 ft.,Tasha´s Cauldron of Everything
Locate Animals or Plants,https://www.aidedd.org/dnd/sorts.php?vo=locate-animals-or-plants,Level 2,divination,1 action,Self,"V,S,M",No,Yes,Give the direction and distance to a kind of beast or plant within 5 miles.,Player´s Handbook (SRD)
Locate Creature,https://www.aidedd.org/dnd/sorts.php?vo=locate-creature,Level 4,divination,1 action,Self,"V,S,M",Yes,No,The caster senses the direction in which a familiar creature is within a 1000-ft radius.,Player´s Handbook (SRD)
Locate Object,https://www.aidedd.org/dnd/sorts.php?vo=locate-object,Level 2,divination,1 action,Self,"V,S,M",Yes,No,"The caster senses the direction to the location of an objet you are familiar with, within a 1000 ft radius.",Player´s Handbook (SRD)
Longstrider,https://www.aidedd.org/dnd/sorts.php?vo=longstrider,Level 1,transmutation,1 action,Touch,"V,S,M",No,No,The target gets a speed increased by 10 ft (+1 creature/lvl).,Player´s Handbook (SRD)
Maddening Darkness,https://www.aidedd.org/dnd/sorts.php?vo=maddening-darkness,Level 8,evocation,1 action,150 ft,"V,M",Yes,No,Creatures in a 60-ft-radius sphere of darkness must succeed on a Wis. save or take 8d8 psychic damage.,Xanathar´s Guide to Everything
Maelstrom,https://www.aidedd.org/dnd/sorts.php?vo=maelstrom,Level 5,evocation,1 action,120 ft,"V,S,M",Yes,No,Creatures in a 30-ft radius must succeed on a Str. save or take 6d6 bludgeoning damage and be pulled towards the center.,Xanathar´s Guide to Everything
Mage Armor,https://www.aidedd.org/dnd/sorts.php?vo=mage-armor,Level 1,abjuration,1 action,Touch,"V,S,M",No,No,"The target, willing and not wearing armor, gets an AC equal to 13+Dex.Mod.",Player´s Handbook (SRD)
Mage Hand,https://www.aidedd.org/dnd/sorts.php?vo=mage-hand,Cantrip,conjuration,1 action,30 ft,"V,S",No,No,"Create a spectral hand that can in a 30-ft radius manipulate an object, open a door, stow an item, etc.",Player´s Handbook (SRD)
Magic Circle,https://www.aidedd.org/dnd/sorts.php?vo=magic-circle,Level 3,abjuration,1 minute,10 ft,"V,S,M",No,No,"Create a 10-ft-radius, 20-ft-tall cylinder that protect from celestials, elementals, fey, fiends, and/or undead (+1 h/lvl).",Player´s Handbook (SRD)
Magic Jar,https://www.aidedd.org/dnd/sorts.php?vo=magic-jar,Level 6,necromancy,1 minute,Self,"V,S,M",No,No,The caster projects his soul into an urn and then returns to his body or possesses a humanoid body.,Player´s Handbook (SRD)
Magic Missile,https://www.aidedd.org/dnd/sorts.php?vo=magic-missile,Level 1,evocation,1 action,120 ft,"V,S",No,No,3 missiles deal automatically 1d4+1 force damage each to one or several creatures (+1 missile/lvl).,Player´s Handbook (SRD)
Magic Mouth,https://www.aidedd.org/dnd/sorts.php?vo=magic-mouth,Level 2,illusion,1 minute,30 ft,"V,S,M",No,Yes,Creates a magical mouth that will repeat a message of up to 25 words when a trigger condition is met.,Player´s Handbook (SRD)
Magic Stone,https://www.aidedd.org/dnd/sorts.php?vo=magic-stone,Cantrip,transmutation,1 bonus action,Touch,"V,S",No,No,Up to 3 pebbles deal 1d6 + Ability.Mod bludgeoning damage if the spell attack hits.,Xanathar´s Guide to Everything
Magic Weapon,https://www.aidedd.org/dnd/sorts.php?vo=magic-weapon,Level 2,transmutation,1 bonus action,Touch,"V,S",Yes,No,Turn a weapon into a +1 magic weapon for attack rolls and damage rolls (+2 or +3 bonus/lvl).,Player´s Handbook (SRD)
Major Image,https://www.aidedd.org/dnd/sorts.php?vo=major-image,Level 3,illusion,1 action,120 ft,"V,S,M",Yes,No,"Create the image of an animated object or creature, with sounds and smells (without concentration/lvl).",Player´s Handbook (SRD)
Mass Cure Wounds,https://www.aidedd.org/dnd/sorts.php?vo=mass-cure-wounds,Level 5,evocation,1 action,60 ft,"V,S",No,No,Up to 6 creatures regain 3d8+Spell.Ability.Mod (+1d8 hp/lvl).,Player´s Handbook (SRD)
Mass Heal,https://www.aidedd.org/dnd/sorts.php?vo=mass-heal,Level 9,evocation,1 action,60 ft,"V,S",No,No,"Several creatures regain a total of 700 ph and are cured of diseases, blindness, and deafness.",Player´s Handbook (SRD)
Mass Healing Word,https://www.aidedd.org/dnd/sorts.php?vo=mass-healing-word,Level 3,evocation,1 bonus action,60 ft,V,No,No,Up to 6 creatures regain 1d4+Ability.Mod (+1d4 hp/lvl).,Player´s Handbook (SRD)
Mass Polymorph,https://www.aidedd.org/dnd/sorts.php?vo=mass-polymorph,Level 9,transmutation,1 action,120 ft,"V,S,M",Yes,No,Transform up to 10 creatures into new beast forms whose CR or level are equal to or less than the creature's CR or level.,Xanathar´s Guide to Everything
Mass Suggestion,https://www.aidedd.org/dnd/sorts.php?vo=mass-suggestion,Level 6,enchantment,1 action,60 ft,"V,M",No,No,Up to 12 targets must succeed on a Wis. save or follow the suggestion given by the caster (duration/lvl).,Player´s Handbook (SRD)
Maximilian's Earthen Grasp,https://www.aidedd.org/dnd/sorts.php?vo=maximilian-s-earthen-grasp,Level 2,transmutation,1 action,30 ft,"V,S,M",Yes,No,The target must succeed on a Str. save or take 2d6 bludgeoning damage and be restrained.,Xanathar´s Guide to Everything
Maze,https://www.aidedd.org/dnd/sorts.php?vo=maze,Level 8,conjuration,1 action,60 ft,"V,S",Yes,No,Banish a creature into a labyrinthine demiplane. Intelligence check to escape before the end of the spell.,Player´s Handbook (SRD)
Meld into Stone,https://www.aidedd.org/dnd/sorts.php?vo=meld-into-stone,Level 3,transmutation,1 action,Touch,"V,S",No,Yes,The caster can penetrate the stone.,Player´s Handbook (SRD)
Melf's Acid Arrow,https://www.aidedd.org/dnd/sorts.php?vo=melf-s-acid-arrow,Level 2,evocation,1 action,90 ft,"V,S,M",No,No,"If the spell attack hits, deals 4d4 acid damage, then 2d4 acid damage on the next round (damage/lvl).",Player´s Handbook (SRD)
Melf's Minute Meteors,https://www.aidedd.org/dnd/sorts.php?vo=melf-s-minute-meteors,Level 3,evocation,1 action,Self,"V,S,M",Yes,No,Creatures within 5 ft must succeed on a Dex.save or take 2d6 fire damage for each of the 6 meteors (+2 meteors/lvl).,Xanathar´s Guide to Everything
Mending,https://www.aidedd.org/dnd/sorts.php?vo=mending,Cantrip,transmutation,1 minute,Touch,"V,S,M",No,No,"Repair break or tear in an object (broken chain link, two halves of a broken key, torn cloak, leaking wineskin, etc).",Player´s Handbook (SRD)
Mental Prison,https://www.aidedd.org/dnd/sorts.php?vo=mental-prison,Level 6,illusion,1 action,60 ft,S,Yes,No,The target must succeed on an Int. save or take 5d10 psychic damage and believe to be surrounded by fire or other hazard.,Xanathar´s Guide to Everything
Message,https://www.aidedd.org/dnd/sorts.php?vo=message,Cantrip,transmutation,1 action,120 ft,"V,S,M",No,No,The caster whispers a message to a creature within 120 ft who will be the only one to hear it. It can reply the same way.,Player´s Handbook (SRD)
Meteor Swarm,https://www.aidedd.org/dnd/sorts.php?vo=meteor-swarm,Level 9,evocation,1 action,1 mile,"V,S",No,No,Creatures in a 40-ft-radius sphere must succeed on a Dex. save or take 20d6 fire damage and 20d6 bludgeoning damage.,Player´s Handbook (SRD)
Mighty Fortress,https://www.aidedd.org/dnd/sorts.php?vo=mighty-fortress,Level 8,conjuration,1 minute,1 mile,"V,S,M",No,No,Let erupt a forteresse of stone on a 120 x 120 ft area for 7 days.,Xanathar´s Guide to Everything
Mind Blank,https://www.aidedd.org/dnd/sorts.php?vo=mind-blank,Level 8,abjuration,1 action,Touch,"V,S",No,No,"The target is immune to psychic damage, reading thoughts, divination spells, and the charmed condition.",Player´s Handbook (SRD)
Mind Sliver,https://www.aidedd.org/dnd/sorts.php?vo=mind-sliver,Cantrip,enchantment,1 action,60 ft,V,No,No,The target must succeed on an Int. save or take 1d6 psychic damage and substract -1d4 on it's next saving throw (damage/lvl).,Tasha´s Cauldron of Everything
Mind Spike,https://www.aidedd.org/dnd/sorts.php?vo=mind-spike,Level 2,divination,1 action,60 ft,S,Yes,No,The target must succeed on a Wis. save or take 3d8 psychic damage (damage/lvl).,Xanathar´s Guide to Everything
Minor Illusion,https://www.aidedd.org/dnd/sorts.php?vo=minor-illusion,Cantrip,illusion,1 action,30 ft,"S,M",No,No,Create a sound or an immobile image of an object no larger than a 5-ft cube.,Player´s Handbook (SRD)
Mirage Arcane,https://www.aidedd.org/dnd/sorts.php?vo=mirage-arcane,Level 7,illusion,10 minutes,Sight,"V,S",No,No,"Tansform the appearance (sight, sound, smell and feel) of a 1 mile square.",Player´s Handbook (SRD)
Mirror Image,https://www.aidedd.org/dnd/sorts.php?vo=mirror-image,Level 2,illusion,1 action,Self,"V,S",No,No,"Create 3 illusory duplicates of the caster, each of them having a AC equal to 10 + Dex.Mod and being destroyed if they are hit.",Player´s Handbook (SRD)
Mislead,https://www.aidedd.org/dnd/sorts.php?vo=mislead,Level 5,illusion,1 action,Self,S,Yes,No,"The caster becomes invisible and creates a double that moves, acts and speaks. The caster can see and hear through this double.",Player´s Handbook (SRD)
Misty Step,https://www.aidedd.org/dnd/sorts.php?vo=misty-step,Level 2,conjuration,1 bonus action,Self,V,No,No,The caster is teleported up to 30 feet.,Player´s Handbook (SRD)
Modify Memory,https://www.aidedd.org/dnd/sorts.php?vo=modify-memory,Level 5,enchantment,1 action,30 ft,"V,S",Yes,No,The target must succeed on a Wis. save or be charmed and its memory altered (seniority of memories/lvl).,Player´s Handbook (SRD)
Mold Earth,https://www.aidedd.org/dnd/sorts.php?vo=mold-earth,Cantrip,transmutation,1 action,30 ft,S,No,No,"Control dirt or stone to excavate, shape, turn it into difficult terrain, etc.",Xanathar´s Guide to Everything
Moonbeam,https://www.aidedd.org/dnd/sorts.php?vo=moonbeam,Level 2,evocation,1 action,120 ft,"V,S,M",Yes,No,"Creatures in a 5-ft-radius, 40-ft-high cylinder must succeed on a Con. save or take 2d10 radiant damage (damage/lvl).",Player´s Handbook (SRD)
Mordenkainen's Faithful Hound,https://www.aidedd.org/dnd/sorts.php?vo=mordenkainen-s-faithful-hound,Level 4,conjuration,1 action,30 ft,"V,S,M",No,No,Summon an invisible watchdog that barks when a creature approaches and attacks it (4d8 piercing damage).,Player´s Handbook (SRD)
Mordenkainen's Magnificent Mansion,https://www.aidedd.org/dnd/sorts.php?vo=mordenkainen-s-magnificent-mansion,Level 7,conjuration,1 minute,300 ft,"V,S,M",No,No,Create an extradimensional mansion with all the comforts that can shelter the caster and other creatures.,Player´s Handbook (SRD)
Mordenkainen's Private Sanctum,https://www.aidedd.org/dnd/sorts.php?vo=mordenkainen-s-private-sanctum,Level 4,abjuration,10 minutes,120 ft,"V,S,M",No,No,Create a secure cube up to 100 ft on each side. The type of protection is to choose (+100 ft on each side/lvl).,Player´s Handbook (SRD)
Mordenkainen's Sword,https://www.aidedd.org/dnd/sorts.php?vo=mordenkainen-s-sword,Level 7,evocation,1 action,60 ft,"V,S,M",Yes,No,"If the spell attack hits, deals 3d10 force damage. The sword can move.",Player´s Handbook (SRD)
Move Earth,https://www.aidedd.org/dnd/sorts.php?vo=move-earth,Level 6,transmutation,1 action,120 ft,"V,S,M",Yes,No,"Shape dirt, sand, or clay, but not stone (raise, lower, flatten, create a trench, etc) in a 40-ft square in 10 min.",Player´s Handbook (SRD)
Negative Energy Flood,https://www.aidedd.org/dnd/sorts.php?vo=negative-energy-flood,Level 5,necromancy,1 action,60 ft,"V,M",No,No,"The target must succeed on a Con. save or take 5d12 necrotic damage. Killed that way, the target rises as a zombi.",Xanathar´s Guide to Everything
Nondetection,https://www.aidedd.org/dnd/sorts.php?vo=nondetection,Level 3,abjuration,1 action,Touch,"V,S,M",No,No,Protect a creature or an object from any divination magic or magical scrying.,Player´s Handbook (SRD)
Nystul's Magic Aura,https://www.aidedd.org/dnd/sorts.php?vo=nystul-s-magic-aura,Level 2,illusion,1 action,Touch,"V,S,M",No,No,Reveal false information about a creature or an object that would be the target of a divination spell.,Player´s Handbook (SRD)
Otiluke's Freezing Sphere,https://www.aidedd.org/dnd/sorts.php?vo=otiluke-s-freezing-sphere,Level 6,evocation,1 action,300 ft,"V,S,M",No,No,Creatures in a 60-ft-radius sphere must succeed on a Con. save or take 10d6 cold damage (damage/lvl).,Player´s Handbook (SRD)
Otiluke's Resilient Sphere,https://www.aidedd.org/dnd/sorts.php?vo=otiluke-s-resilient-sphere,Level 4,evocation,1 action,30 ft,"V,S,M",Yes,No,The Large size or smaller target must succeedd on a Dex. save or be enclosed for the spell duration.,Player´s Handbook (SRD)
Otto's Irresistible Dance,https://www.aidedd.org/dnd/sorts.php?vo=otto-s-irresistible-dance,Level 6,enchantment,1 action,30 ft,V,Yes,No,The target must succeed on a Wis. save or dance (disadvantage on Dex. save and attack rolls).,Player´s Handbook (SRD)
Pass without Trace,https://www.aidedd.org/dnd/sorts.php?vo=pass-without-trace,Level 2,abjuration,1 action,Self,"V,S,M",Yes,No,The caster and his allies within 30 ft get a +10 bonus to Dexterity (Discretion) checks and leave behind no tracks or traces.,Player´s Handbook (SRD)
Passwall,https://www.aidedd.org/dnd/sorts.php?vo=passwall,Level 5,transmutation,1 action,30 ft,"V,S,M",No,No,"Open a 5-ft wide, 8-ft tall, 20-ft deep passage through stone, wood or plaster.",Player´s Handbook (SRD)
Phantasmal Force,https://www.aidedd.org/dnd/sorts.php?vo=phantasmal-force,Level 2,illusion,1 action,60 ft,"V,S,M",Yes,No,Tha target must succeed on an Int. save or perceive as real an object or creature created by the caster (with sound).,Player´s Handbook (BR+)
Phantasmal Killer,https://www.aidedd.org/dnd/sorts.php?vo=phantasmal-killer,Level 4,illusion,1 action,120 ft,"V,S",Yes,No,The target must succeed on a Wis. save or be frightened then take 4d10 psychic damage (damage/lvl) on each of it's turn.,Player´s Handbook (SRD)
Phantom Steed,https://www.aidedd.org/dnd/sorts.php?vo=phantom-steed,Level 3,illusion,1 minute,30 ft,"V,S",No,Yes,Create a quasi-real Large horselike creature and everything to mount it.,Player´s Handbook (SRD)
Planar Ally,https://www.aidedd.org/dnd/sorts.php?vo=planar-ally,Level 6,conjuration,10 minutes,60 ft,"V,S",No,No,"Summon a celestial, elemental, or fiend that will help the caster in exchange for payment (1000 gp/h, sacrifice, quest, etc).",Player´s Handbook (SRD)
Planar Binding,https://www.aidedd.org/dnd/sorts.php?vo=planar-binding,Level 5,abjuration,1 hour,60 ft,"V,S,M",No,No,"The target (celestial, elemental, fey, or fiend) must succeed on a Cha. save or serve the caster (duration/lvl).",Player´s Handbook (SRD)
Plane Shift,https://www.aidedd.org/dnd/sorts.php?vo=plane-shift,Level 7,conjuration,1 action,Touch,"V,S,M",No,No,"The caster and up to 8 creatures are transported to another plane of existence, or a creature is banished (Cha. save).",Player´s Handbook (SRD)
Plant Growth,https://www.aidedd.org/dnd/sorts.php?vo=plant-growth,Level 3,transmutation,1 action or 8 hours,150 ft,"V,S",No,No,"Plants in the area grow vigorously, or over a year the plants produce twice the normal amount of food.",Player´s Handbook (SRD)
Poison Spray,https://www.aidedd.org/dnd/sorts.php?vo=poison-spray,Cantrip,conjuration,1 action,10 ft,"V,S",No,No,The target must succeed on a Con. save or take 1d12 poison damage (damage/lvl).,Player´s Handbook (SRD)
Polymorph,https://www.aidedd.org/dnd/sorts.php?vo=polymorph,Level 4,transmutation,1 action,60 ft,"V,S,M",Yes,No,Transform a creature into a new beast form whose CR or level is equal to or less than the creature's CR or level.,Player´s Handbook (SRD)
Power Word Heal,https://www.aidedd.org/dnd/sorts.php?vo=power-word-heal,Level 9,evocation,1 action,Touch,"V,S",No,No,"The target regains all its hp and charmed, frightened, paralyzed, and stunned conditions end.",Player´s Handbook
Power Word Kill,https://www.aidedd.org/dnd/sorts.php?vo=power-word-kill,Level 9,enchantment,1 action,60 ft,V,No,No,The target (100 hp or fewer) dies!,Player´s Handbook (SRD)
Power Word Pain,https://www.aidedd.org/dnd/sorts.php?vo=power-word-pain,Level 7,enchantment,1 action,60 ft,V,No,No,"The target (100 hp max) has its speed reduced to 10 ft, disadvantage to d20 rolls and has to make a Con. save to cast spells.",Xanathar´s Guide to Everything
Power Word Stun,https://www.aidedd.org/dnd/sorts.php?vo=power-word-stun,Level 8,enchantment,1 action,60 ft,V,No,No,The target (150 hp or fewer) is stunned until it succeeds on a Con. save.,Player´s Handbook (SRD)
Prayer of Healing,https://www.aidedd.org/dnd/sorts.php?vo=prayer-of-healing,Level 2,evocation,10 minutes,30 ft,V,No,No,Up to 6 creatures regain 2d8+Ability.Mod (+1d8 hp/lvl).,Player´s Handbook (SRD)
Prestidigitation,https://www.aidedd.org/dnd/sorts.php?vo=prestidigitation,Cantrip,transmutation,1 action,10 ft,"V,S",No,No,"Minor magical trick (sensory effect, light a torch, clean an object, warm, make a symbol appear, create a trinket, etc).",Player´s Handbook (SRD)
Primal Savagery,https://www.aidedd.org/dnd/sorts.php?vo=primal-savagery,Cantrip,transmutation,1 action,Self,S,No,No,"If the melee spell attack hits, deals 1d10 acid damage (damage/lvl).",Xanathar´s Guide to Everything
Primordial Ward,https://www.aidedd.org/dnd/sorts.php?vo=primordial-ward,Level 6,abjuration,1 action,Self,"V,S",Yes,No,"The caster gets resistance to acid, cold, fire, lightning, and thunder damage or immunity to a single type.",Xanathar´s Guide to Everything
Prismatic Spray,https://www.aidedd.org/dnd/sorts.php?vo=prismatic-spray,Level 7,evocation,1 action,Self (60-ft cone),"V,S",No,No,Creatures in a 60-ft cone must succeed on a Dex. save or take 10d6 damage of a randomly determined type.,Player´s Handbook (SRD)
Prismatic Wall,https://www.aidedd.org/dnd/sorts.php?vo=prismatic-wall,Level 9,abjuration,1 action,60 ft,"V,S",No,No,Create a multi-layered wall that inflicts different effects and damage depending on the layer.,Player´s Handbook (SRD)
Produce Flame,https://www.aidedd.org/dnd/sorts.php?vo=produce-flame,Cantrip,conjuration,1 action,Self,"V,S",No,No,"If the spell attack hits, deals 1d8 fire damage (damage/lvl). Shed bright light in 10 ft and dim light in additional 10 ft.",Player´s Handbook (SRD)
Programmed Illusion,https://www.aidedd.org/dnd/sorts.php?vo=programmed-illusion,Level 6,illusion,1 action,120 ft,"V,S,M",No,No,"Create the image of an animated object or creature, with sounds, for 5 min, with a triggering condition.",Player´s Handbook (SRD)
Project Image,https://www.aidedd.org/dnd/sorts.php?vo=project-image,Level 7,illusion,1 action,500 miles,"V,S,M",Yes,No,"Create a copy of the caster that mimics him, moves and emits sounds. The caster can see and hear through this double.",Player´s Handbook (SRD)
Protection from Energy,https://www.aidedd.org/dnd/sorts.php?vo=protection-from-energy,Level 3,abjuration,1 action,Touch,"V,S",Yes,No,"The target gains resistance to one damage type (acid, cold, fire, lightning, or thunder).",Player´s Handbook (SRD)
Protection from Evil and Good,https://www.aidedd.org/dnd/sorts.php?vo=protection-from-evil-and-good,Level 1,abjuration,1 action,Touch,"V,S,M",Yes,No,"The target is protected (disadvantage on attack rolls) against aberrations, celestials, elementals, fey, fiends, and undead.",Player´s Handbook (SRD)
Protection from Poison,https://www.aidedd.org/dnd/sorts.php?vo=protection-from-poison,Level 2,abjuration,1 action,Touch,"V,S",No,No,"Neutralize 1 poison in one creature, give advantage on saving throws againt being poisoned, and resistance to poison damage.",Player´s Handbook (SRD)
Psychic Scream,https://www.aidedd.org/dnd/sorts.php?vo=psychic-scream,Level 9,enchantment,1 action,90 ft,S,No,No,Up to 10 creatures must succeed on an Int. save or take 14d6 psychic damage.,Xanathar´s Guide to Everything
Purify Food and Drink,https://www.aidedd.org/dnd/sorts.php?vo=purify-food-and-drink,Level 1,transmutation,1 action,10 ft,"V,S",No,Yes,Purified and rendered free of poison and disease nonmagical food and drink in a 5-ft-radius sphere.,Player´s Handbook (SRD)
Pyrotechnics,https://www.aidedd.org/dnd/sorts.php?vo=pyrotechnics,Level 2,transmutation,1 action,60 ft,"V,S",No,No,Target flame within 60-ft and make them explode (Con. save or blinded) or spread smoke (heavily obscured).,Xanathar´s Guide to Everything
Raise Dead,https://www.aidedd.org/dnd/sorts.php?vo=raise-dead,Level 5,necromancy,1 hour,Touch,"V,S,M",No,No,Take back to life (1 hp) a creature died for no longer than 10 days. Doesn't restore missing body parts.,Player´s Handbook (SRD)
Rary's Telepathic Bond,https://www.aidedd.org/dnd/sorts.php?vo=rary-s-telepathic-bond,Level 5,divination,1 action,30 ft,"V,S,M",No,Yes,Create a telepathic link between up to 8 people in a 30-ft radius for 1 hour.,Player´s Handbook (SRD)
Ray of Enfeeblement,https://www.aidedd.org/dnd/sorts.php?vo=ray-of-enfeeblement,Level 2,necromancy,1 action,60 ft,"V,S",Yes,No,"If the spell attack hits, the target deals only half damage with a weapon attack that use Strength (Con. save).",Player´s Handbook (SRD)
Ray of Frost,https://www.aidedd.org/dnd/sorts.php?vo=ray-of-frost,Cantrip,evocation,1 action,60 ft,"V,S",No,No,"If the spell attack hits, deals 1d8 cold damage (damage/lvl) and the target's speed is reduced by 10 ft.",Player´s Handbook (SRD)
Ray of Sickness,https://www.aidedd.org/dnd/sorts.php?vo=ray-of-sickness,Level 1,necromancy,1 action,60 ft,"V,S",No,No,"If the attack hits, deals 2d8 poison damage (damage/lvl) and the target can be poisoned (Con. save).",Player´s Handbook
Regenerate,https://www.aidedd.org/dnd/sorts.php?vo=regenerate,Level 7,transmutation,1 minute,Touch,"V,S,M",No,No,The target regains 4d8+15 hp then 1 hp per round and its severed members are restored.,Player´s Handbook (SRD)
